125.0,118.0,-1.0,3.0,-2.0,4.0,-0.0,1.0,;-19.0,12.0,9.0,4.0,-0.0,-0.0,-1.0,-4.0,;-21.0,-21.0,-16.0,6.0,2.0,1.0,-0.0,-2.0,;-10.0,-5.0,-2.0,-9.0,-0.0,2.0,-0.0,0.0,;7.0,-5.0,1.0,0.0,-0.0,0.0,-1.0,-0.0,;-5.0,-5.0,1.0,-1.0,1.0,1.0,0.0,0.0,;-1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,;0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,;
39.0,-63.0,-2.0,4.0,8.0,-5.0,0.0,1.0,;-30.0,26.0,10.0,-4.0,-3.0,2.0,1.0,-0.0,;-1.0,25.0,0.0,-6.0,-1.0,-5.0,2.0,-1.0,;8.0,-15.0,10.0,-6.0,-0.0,1.0,-0.0,-1.0,;7.0,-6.0,2.0,3.0,-2.0,2.0,-0.0,1.0,;-4.0,-0.0,2.0,0.0,0.0,-1.0,0.0,-0.0,;-2.0,0.0,-2.0,0.0,0.0,-0.0,-0.0,-0.0,;0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,;
110.0,52.0,18.0,6.0,-5.0,2.0,1.0,-1.0,;-31.0,-70.0,-11.0,7.0,12.0,3.0,-1.0,-0.0,;23.0,27.0,-8.0,-4.0,-0.0,-1.0,1.0,1.0,;4.0,8.0,-3.0,0.0,-3.0,-1.0,0.0,0.0,;-19.0,-13.0,0.0,-4.0,2.0,-1.0,-1.0,-0.0,;-9.0,1.0,-0.0,-1.0,-0.0,-1.0,0.0,-0.0,;2.0,-0.0,-1.0,-0.0,-0.0,0.0,0.0,-0.0,;-1.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,;
219.0,-125.0,-61.0,-12.0,5.0,3.0,0.0,1.0,;34.0,-14.0,-12.0,9.0,5.0,2.0,1.0,0.0,;-10.0,2.0,30.0,10.0,2.0,-0.0,-1.0,-1.0,;-1.0,3.0,-2.0,1.0,5.0,-0.0,0.0,-0.0,;5.0,7.0,2.0,-0.0,-2.0,-0.0,-0.0,0.0,;1.0,-2.0,0.0,2.0,0.0,1.0,-0.0,-0.0,;-1.0,2.0,-0.0,-1.0,0.0,-0.0,-0.0,0.0,;1.0,-1.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,;
261.0,43.0,7.0,-5.0,0.0,-0.0,-1.0,-1.0,;7.0,39.0,-28.0,-1.0,1.0,0.0,1.0,1.0,;-17.0,9.0,11.0,3.0,-4.0,1.0,0.0,-1.0,;0.0,6.0,8.0,-3.0,1.0,1.0,-0.0,-0.0,;-9.0,-2.0,-1.0,-1.0,2.0,-1.0,-0.0,0.0,;-0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,-0.0,;-1.0,-1.0,-0.0,0.0,0.0,-0.0,0.0,0.0,;-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,;
191.0,-47.0,21.0,12.0,6.0,0.0,2.0,1.0,;-55.0,-87.0,12.0,7.0,0.0,1.0,0.0,1.0,;7.0,-1.0,-17.0,-8.0,4.0,1.0,-1.0,-1.0,;-7.0,18.0,-0.0,-2.0,0.0,1.0,-0.0,0.0,;14.0,-6.0,3.0,0.0,-3.0,0.0,0.0,-0.0,;0.0,-4.0,-1.0,1.0,1.0,-1.0,0.0,0.0,;-3.0,1.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,;1.0,-1.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,;
178.0,14.0,19.0,20.0,9.0,-4.0,1.0,0.0,;12.0,2.0,38.0,2.0,-11.0,-1.0,0.0,0.0,;-30.0,-1.0,5.0,3.0,4.0,1.0,1.0,0.0,;1.0,-4.0,-6.0,-0.0,-4.0,-3.0,0.0,1.0,;9.0,1.0,6.0,0.0,-2.0,1.0,-0.0,0.0,;-8.0,0.0,-1.0,0.0,2.0,1.0,0.0,-0.0,;0.0,0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,;-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,;
166.0,53.0,-25.0,8.0,-2.0,2.0,1.0,-1.0,;-25.0,13.0,-14.0,18.0,6.0,2.0,1.0,-0.0,;5.0,-19.0,1.0,-2.0,2.0,-0.0,0.0,0.0,;35.0,-19.0,4.0,2.0,-1.0,0.0,-1.0,0.0,;-1.0,1.0,-1.0,-2.0,-1.0,-0.0,0.0,0.0,;-0.0,1.0,-1.0,0.0,-0.0,0.0,0.0,0.0,;-2.0,-1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,;0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,;
123.0,13.0,-3.0,12.0,6.0,-4.0,-2.0,-1.0,;75.0,-74.0,-17.0,6.0,-5.0,-1.0,0.0,-0.0,;64.0,26.0,-17.0,-15.0,2.0,4.0,-1.0,1.0,;8.0,-2.0,29.0,-2.0,-1.0,-0.0,-0.0,-0.0,;-2.0,4.0,-3.0,3.0,-3.0,-0.0,0.0,0.0,;-4.0,-3.0,-1.0,0.0,0.0,-0.0,-0.0,-0.0,;1.0,-0.0,1.0,-1.0,0.0,-0.0,-0.0,-0.0,;-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,;
103.0,67.0,-9.0,-18.0,6.0,-2.0,-1.0,1.0,;135.0,8.0,-33.0,10.0,-1.0,2.0,-2.0,1.0,;11.0,-5.0,-3.0,-6.0,-3.0,4.0,1.0,-1.0,;15.0,27.0,18.0,2.0,-1.0,-1.0,0.0,1.0,;-15.0,-14.0,-4.0,1.0,0.0,0.0,-0.0,0.0,;3.0,-6.0,-2.0,1.0,0.0,1.0,0.0,-0.0,;1.0,0.0,1.0,1.0,0.0,-0.0,0.0,0.0,;-0.0,-0.0,-1.0,-0.0,-0.0,0.0,0.0,-0.0,;
